Airfoil: 7037B
Builder: D. Thompson
Comment: clean
0.218   0.0102    -2.25
0.365   0.0086    -0.70
0.477   0.0081     0.79
0.658   0.0092     2.38
0.836   0.0107     4.02
0.980   0.0126     5.45
1.119   0.0160     6.95
1.250   0.0199     8.52
1.352   0.0245    10.04
Airfoil: 7075AT1
Builder: J. Robertson
Comment: plain trip @ x/c = 68% (h/c = 0.17%; w/c = 2.0%)
4
99800
11
-0.188   0.0264    -4.00
-0.040   0.0192    -2.49
0.083   0.0147    -0.94
0.291   0.0173     0.62
0.518   0.0216     2.15
0.715   0.0175     3.71
0.851   0.0165     5.24
0.971   0.0191     6.77
1.092   0.0243     8.29
1.147   0.0334     9.81
1.198   0.0478    11.33
199100
11
-0.034   0.0161    -3.80
0.098   0.0128    -2.42
0.250   0.0103    -0.90
0.385   0.0116     0.64
0.535   0.0107     2.02
0.727   0.0100     3.73
0.853   0.0124     5.13
0.988   0.0157     6.78
1.095   0.0205     8.31
1.167   0.0286     9.82
1.220   0.0404    11.34
202900
1
-0.144   0.0231    -4.99
300000
11
-0.154   0.0204    -5.00
-0.013   0.0129    -3.46
0.130   0.0102    -1.92
0.272   0.0086    -0.49
0.468   0.0077     1.14
0.645   0.0081     2.79
0.785   0.0097     4.24
0.918   0.0121     5.77
1.043   0.0157     7.29
1.144   0.0203     8.83
1.216   0.0287    10.36
Airfoil: 7075AT2
Builder: J. Robertson
Comment: Zig-Zag trip type "D" @ x/c = 68% (h/c = 0.25%)
4
60200
11
-0.190   0.0309    -4.00
-0.055   0.0236    -2.49
0.072   0.0183    -0.97
0.238   0.0220     0.58
0.422   0.0241     2.13
0.680   0.0297     3.72
0.857   0.0228     5.24
0.970   0.0224     6.73
1.063   0.0315     8.28
1.136   0.0375     9.82
1.197   0.0573    11.33
100200
11
-0.172   0.0292    -5.00
-0.027   0.0200    -3.47
0.107   0.0143    -1.95
0.207   0.0157    -0.50
0.361   0.0194     1.12
0.571   0.0212     2.55
0.762   0.0169     4.21
0.896   0.0177     5.76
1.019   0.0209     7.28
1.109   0.0281     8.80
1.168   0.0389    10.32
199600
11
-0.158   0.0236    -4.97
-0.028   0.0155    -3.47
0.121   0.0110    -1.94
0.265   0.0083    -0.41
0.429   0.0090     1.14
0.605   0.0105     2.68
0.779   0.0109     4.23
0.908   0.0142     5.77
1.030   0.0174     7.28
1.118   0.0230     8.81
1.184   0.0320    10.33
299700
11
-0.162   0.0217    -5.00
-0.023   0.0137    -3.45
0.124   0.0101    -1.89
0.259   0.0078    -0.40
0.458   0.0077     1.15
0.626   0.0080     2.68
0.780   0.0103     4.24
0.917   0.0128     5.76
1.040   0.0161     7.31
1.140   0.0208     8.83
1.205   0.0277    10.20
Airfoil: 7075AT3
Builder: J. Robertson
Comment: Zig-Zag trip type "D" @ x/c = 68% (h/c = 0.39%)
3
99900
11
-0.178   0.0285    -4.99
-0.038   0.0193    -3.48
0.091   0.0128    -1.95
0.262   0.0126    -0.40
0.375   0.0193     1.11
0.594   0.0196     2.67
0.766   0.0155     4.23
0.892   0.0186     5.74
1.006   0.0223     7.19
1.102   0.0282     8.76
1.165   0.0384    10.32
199400
11
-0.156   0.0237    -4.99
-0.023   0.0159    -3.46
0.122   0.0115    -1.96
0.272   0.0089    -0.40
0.434   0.0094     1.15
0.604   0.0099     2.67
0.770   0.0109     4.25
0.898   0.0149     5.76
1.022   0.0181     7.29
1.158   0.0270     9.57
1.183   0.0320    10.33
299100
11
-0.158   0.0217    -5.00
-0.016   0.0143    -3.45
0.122   0.0108    -1.95
0.340   0.0080     0.24
0.442   0.0081     1.13
0.666   0.0087     3.18
0.762   0.0110     4.23
0.899   0.0137     5.76
1.027   0.0169     7.29
1.129   0.0215     8.83
1.198   0.0290    10.34
Airfoil: 7075ATF1
Builder: J. Robertson
Comment: flap = 10 degs: Zig-Zag trip type "D" @ x/c = 68% (h/c = 0.25%)
4
60300
11
-0.018   0.0385    -5.99
0.161   0.0325    -4.43
0.274   0.0289    -2.94
0.409   0.0305    -1.40
0.551   0.0350     0.13
0.661   0.0375     1.66
0.880   0.0455     3.21
1.185   0.0281     4.80
1.245   0.0373     6.31
1.283   0.0445     7.82
