Airfoil AG_03_(flat_aft_bottom)
Builder xxx
Comment xxx
5
20000
14
  -0.1331   0.0319  -2.4500
  -0.1272   0.0319  -2.4000
  -0.1214   0.0318  -2.3500
  -0.1157   0.0318  -2.3000
  -0.1100   0.0317  -2.2500
  -0.1044   0.0317  -2.2000
  -0.0988   0.0316  -2.1500
  -0.0933   0.0316  -2.1000
  -0.0878   0.0315  -2.0500
  -0.0824   0.0315  -2.0000
  -0.0296   0.0313  -1.5000
   0.0212   0.0312  -1.0000
   0.0705   0.0313  -0.5000
   0.1183   0.0315   0.0000
   0.1647   0.0318   0.5000
   0.2095   0.0323   1.0000
   0.2526   0.0330   1.5000
   0.2933   0.0340   2.0000
   0.3316   0.0354   2.5000
   0.3668   0.0372   3.0000
   0.3980   0.0397   3.5000
   0.4254   0.0429   4.0000
   0.4493   0.0468   4.5000
   0.4702   0.0514   5.0000
   0.4890   0.0567   5.5000
   0.5062   0.0625   6.0000
   0.5222   0.0688   6.5000
   0.5375   0.0754   7.0000
   0.5525   0.0825   7.5000
   0.5672   0.0898   8.0000
   0.5730   0.0928   8.2000
   0.5788   0.0958   8.4000
   0.5847   0.0989   8.6000
   0.5905   0.1020   8.8000
   0.5963   0.1051   9.0000
15000
33
  -0.1395   0.0262  -2.5000
  -0.1332   0.0261  -2.4500
  -0.1263   0.0260  -2.4000
  -0.1196   0.0259  -2.3500
  -0.1131   0.0258  -2.3000
  -0.1068   0.0257  -2.2500
  -0.1007   0.0257  -2.2000
  -0.0947   0.0257  -2.1500
  -0.0888   0.0256  -2.1000
  -0.0831   0.0256  -2.0500
  -0.0774   0.0256  -2.0000
  -0.0233   0.0254  -1.5000
   0.0282   0.0254  -1.0000
   0.0780   0.0255  -0.5000
   0.1264   0.0257   0.0000
   0.1733   0.0260   0.5000
   0.2187   0.0265   1.0000
   0.2621   0.0273   1.5000
   0.3031   0.0283   2.0000
   0.3414   0.0298   2.5000
   0.3755   0.0319   3.0000
   0.4052   0.0348   3.5000
   0.4309   0.0385   4.0000
   0.4532   0.0429   4.5000
   0.4732   0.0480   5.0000
   0.5250   0.0556   5.5000
   0.6688   0.0687   6.0000
   0.7200   0.0778   6.5000
   0.7623   0.0961   7.5000
   0.7535   0.1041   8.0000
   0.7259   0.1095   8.4000
   0.5957   0.1006   8.8000
   0.6017   0.1038   9.0000
20000
18
   0.0331   0.0219  -1.0000
   0.0833   0.0220  -0.5000
   0.1320   0.0222   0.0000
   0.1794   0.0226   0.5000
   0.2252   0.0231   1.0000
   0.2688   0.0239   1.5000
   0.3102   0.0250   2.0000
   0.3479   0.0266   2.5000
   0.3809   0.0290   3.0000
   0.4094   0.0322   3.5000
   0.4339   0.0362   4.0000
   0.5842   0.0445   4.5000
   0.7289   0.0504   5.0000
   0.7891   0.0551   5.5000
   0.8275   0.0611   6.0000
   0.8492   0.0691   6.5000
   0.8556   0.0793   7.0000
   0.8465   0.1008   8.0000
30000
18
   0.0395   0.0179  -1.0000
   0.0901   0.0180  -0.5000
