Airfoil A18
Builder R. Cooney
Comment clean
Builder B. Matheson
Comment clean
4
101300
9
-0.210   0.0185    -3.98
-0.047   0.0122    -2.17
0.088   0.0104    -0.61
0.240   0.0130     0.75
0.506   0.0137     2.39
0.617   0.0136     3.53
0.773   0.0153     5.32
0.882   0.0269     7.02
0.964   0.0391     8.30
202100
9
-0.470   0.0584    -6.86
-0.106   0.0122    -2.91
-0.070   0.0112    -2.59
0.138   0.0090    -0.76
0.308   0.0081     0.56
0.516   0.0086     2.45
0.650   0.0098     3.73
0.783   0.0157     5.49
0.873   0.0218     6.73
202000
2
-0.237   0.0155    -4.21
1.006   0.0422     8.70
303600
10
-0.335   0.0180    -5.55
-0.192   0.0131    -3.94
-0.038   0.0092    -2.57
0.175   0.0072    -0.83
0.322   0.0066     0.59
0.529   0.0077     2.57
0.640   0.0088     3.75
0.798   0.0155     5.74
0.915   0.0228     7.24
1.014   0.0453     8.62
Airfoil S7012B
Builder M. Lachowski
Comment clean
5
61100
12
-0.420   0.0400    -5.80
-0.299   0.0253    -4.31
-0.162   0.0169    -2.78
-0.035   0.0124    -1.28
0.107   0.0109     0.13
0.388   0.0171     1.75
0.576   0.0230     3.52
0.692   0.0175     4.85
0.827   0.0224     6.36
0.953   0.0250     7.89
1.059   0.0351     9.58
1.103   0.0535    10.99
101200
12
-0.456   0.0355    -5.86
-0.322   0.0202    -4.38
-0.185   0.0143    -2.88
-0.048   0.0102    -1.29
0.185   0.0118     0.26
0.369   0.0136     1.79
0.520   0.0151     3.32
0.669   0.0161     4.79
0.833   0.0171     6.42
0.966   0.0226     7.98
1.055   0.0377     9.53
1.106   0.0603    11.03
152100
11
-0.435   0.0281    -5.93
-0.273   0.0167    -4.13
-0.125   0.0112    -2.52
0.027   0.0097    -1.10
0.230   0.0095     0.59
0.375   0.0110     1.99
0.533   0.0123     3.46
0.713   0.0134     5.17
0.868   0.0157     6.73
0.965   0.0230     8.07
1.056   0.0349     9.62
202200
12
-0.437   0.0233    -5.90
-0.302   0.0160    -4.39
-0.154   0.0111    -2.86
0.007   0.0089    -1.38
0.193   0.0075     0.36
0.347   0.0092     1.78
0.522   0.0105     3.37
0.671   0.0115     4.78
0.839   0.0135     6.45
0.958   0.0204     7.95
1.052   0.0313     9.48
1.097   0.0538    10.99
303000
12
-0.445   0.0202    -5.83
-0.291   0.0129    -4.21
-0.146   0.0099    -2.75
0.041   0.0076    -1.15
0.163   0.0077     0.15
0.342   0.0075     1.71
0.526   0.0086     3.33
0.703   0.0097     4.91
0.862   0.0121     6.51
0.979   0.0181     7.89
1.086   0.0286     9.60
1.143   0.0549    11.07
Airfoil S7055
Builder G. Jones
Comment clean
10
60700
10
-0.207   0.0341    -4.55
0.008   0.0277    -2.72
0.180   0.0229    -0.93
0.348   0.0271     0.40
0.563   0.0298     2.33
0.688   0.0329     3.49
0.875   0.0333     5.29
0.993   0.0311     6.57
1.137   0.0329     8.32
1.230   0.0296     9.65
60600
1
1.237   0.0522    11.91
101400
10
-0.103   0.0262    -4.43
0.132   0.0198    -2.40
0.281   0.0189    -0.92
0.423   0.0203     0.45
0.608   0.0210     2.35
0.729   0.0206     3.57
0.914   0.0186     5.41
1.031   0.0202     6.68
1.145   0.0233     7.98
1.250   0.0310     9.92
151900
10
-0.078   0.0214    -4.63
0.101   0.0161    -2.64
0.258   0.0137    -1.03
0.396   0.0139     0.44
0.547   0.0147     1.91
0.710   0.0153     3.48
0.873   0.0161     5.03
1.020   0.0172     6.53
1.142   0.0196     8.09
1.228   0.0289     9.75
201900
9
0.161   0.0129    -2.08
0.275   0.0110    -0.82
0.414   0.0116     0.49
0.619   0.0120     2.42
0.760   0.0126     3.75
0.912   0.0131     5.23
1.088   0.0159     7.12
1.177   0.0192     8.32
1.217   0.0273     9.61
203900
1
-0.078   0.0188    -4.49
202800
1
0.071   0.0148    -2.92
301600
8
0.239   0.0093    -1.06
0.394   0.0089     0.37
0.582   0.0094     2.11
0.786   0.0103     4.01
0.906   0.0113     5.21
1.021   0.0127     6.45
1.152   0.0170     8.13
1.200   0.0338    10.12
305200
1
-0.109   0.0165    -4.49
304900
1
0.054   0.0129    -2.96
Airfoil S822
Builder M. Allen
Comment clean
19
102100
12
-0.683   0.0258    -7.20
-0.374   0.0245    -4.29
-0.260   0.0285    -2.75
-0.208   0.0315    -1.40
-0.110   0.0334     0.09
0.035   0.0352     1.61
0.185   0.0431     3.19
0.338   0.0516     4.65
0.755   0.0306     6.40
0.970   0.0201     7.91
1.074   0.0236     9.46
1.091   0.0359    10.95
100900
1
1.139   0.0463    12.45
203400
14
-0.536   0.0196    -7.69
-0.366   0.0178    -5.90
-0.226   0.0177    -4.42
-0.101   0.0190    -3.12
0.046   0.0206    -1.56
0.200   0.0225     0.08
0.338   0.0230     1.53
0.492   0.0217     3.02
0.653   0.0182     4.58
0.840   0.0152     6.13
0.974   0.0151     7.76
1.045   0.0205     9.11
1.093   0.0305    10.66
1.131   0.0424    12.12
304800
14
-0.559   0.0160    -8.40
-0.398   0.0136    -6.48
-0.266   0.0126    -5.04
-0.119   0.0127    -3.55
0.038   0.0131    -2.05
0.206   0.0134    -0.45
0.412   0.0138     1.38
0.563   0.0139     2.76
0.755   0.0130     4.64
0.870   0.0125     5.97
0.965   0.0142     7.57
1.039   0.0187     8.91
1.107   0.0265    10.41
1.163   0.0374    12.14
405900
14
-0.537   0.0138    -8.08
-0.405   0.0121    -6.54
-0.274   0.0110    -5.16
-0.105   0.0109    -3.49
0.057   0.0108    -1.97
0.218   0.0108    -0.52
0.405   0.0108     1.15
0.563   0.0106     2.59
0.737   0.0107     4.24
0.890   0.0109     5.89
0.984   0.0157     7.90
1.056   0.0210     9.44
1.116   0.0277    10.82
1.163   0.0371    12.37
509300
1
-0.027   0.0098    -2.84
505800
1
0.152   0.0095    -1.20
508300
1
0.346   0.0092     0.52
508300
1
0.472   0.0090     1.68
506800
1
0.683   0.0090     3.58
502900
1
0.809   0.0091     4.85
503400
1
0.916   0.0105     6.22
503300
1
0.986   0.0151     7.85
502700
1
1.036   0.0195     9.23
503800
1
1.100   0.0264    10.86
502600
1
1.173   0.0388    12.87
511100
1
-0.279   0.0100    -5.11
510800
1
-0.558   0.0129    -8.00
511400
1
-0.618   0.0144    -8.77
Airfoil S823
Builder M. Allen
Comment clean
18
102100
10
-0.033   0.0489    -1.64
0.107   0.0441    -0.13
0.288   0.0425     1.55
0.430   0.0430     2.98
0.605   0.0382     4.36
0.776   0.0358     5.99
0.926   0.0304     7.58
1.079   0.0289     9.24
1.178   0.0273    10.59
1.190   0.0393    12.24
203000
11
-0.094   0.0212    -3.19
0.078   0.0194    -1.46
0.281   0.0184     0.41
0.407   0.0187     1.54
0.579   0.0192     3.06
0.753   0.0191     4.68
0.898   0.0197     6.13
1.041   0.0195     7.68
1.169   0.0214     9.33
1.203   0.0307    10.70
1.185   0.0602    12.20
206500
1
-0.224   0.0230    -4.74
305300
11
-0.263   0.0173    -4.90
-0.112   0.0167    -3.28
0.039   0.0160    -1.84
0.221   0.0154    -0.21
0.394   0.0147     1.30
0.570   0.0146     2.85
0.744   0.0151     4.45
0.902   0.0155     5.99
1.041   0.0166     7.52
1.158   0.0197     9.24
1.184   0.0333    10.82
307900
1
-0.348   0.0178    -5.85
412000
1
-0.544   0.0186    -7.87
408100
13
-0.544   0.0186    -7.84
-0.401   0.0156    -6.35
-0.264   0.0148    -4.80
-0.121   0.0147    -3.27
0.042   0.0142    -1.76
0.220   0.0136    -0.22
0.405   0.0128     1.38
0.573   0.0125     2.83
0.751   0.0127     4.45
0.904   0.0135     5.97
1.038   0.0146     7.49
1.132   0.0187     9.06
1.159   0.0304    10.54
510300
1
-0.126   0.0136    -3.52
512500
1
0.090   0.0132    -1.55
509700
1
0.221   0.0129    -0.36
507700
1
0.433   0.0119     1.47
509600
1
0.580   0.0117     2.76
508300
1
0.758   0.0119     4.41
504500
1
0.918   0.0128     6.03
503900
1
1.052   0.0144     7.63
504400
1
1.129   0.0185     9.07
504500
1
1.151   0.0316    10.45
510400
1
-0.259   0.0138    -4.75
Airfoil SD6060
Builder C. Fox
Comment clean
5
61000
17
-0.426   0.0296    -6.14
-0.352   0.0229    -5.15
-0.287   0.0208    -4.24
-0.207   0.0148    -3.21
-0.116   0.0127    -2.15
-0.034   0.0120    -1.17
0.115   0.0185    -0.10
0.275   0.0212     0.97
0.401   0.0230     1.88
0.540   0.0282     3.11
0.635   0.0271     4.06
0.709   0.0255     4.96
0.805   0.0228     6.02
0.904   0.0226     7.07
0.971   0.0228     8.04
1.031   0.0297     9.11
1.083   0.0392    10.08
101800
17
-0.437   0.0260    -6.07
-0.384   0.0213    -5.30
-0.307   0.0174    -4.18
-0.228   0.0158    -3.24
-0.133   0.0152    -2.32
0.042   0.0158    -1.20
0.200   0.0165    -0.09
0.294   0.0181     0.85
0.398   0.0195     1.95
0.488   0.0201     2.93
0.580   0.0185     3.95
0.689   0.0168     5.06
0.776   0.0175     6.01
0.872   0.0182     7.06
0.945   0.0215     8.02
0.997   0.0298     9.04
1.030   0.0368    10.06
152300
17
-0.448   0.0237    -6.03
-0.387   0.0193    -5.04
-0.296   0.0179    -4.08
-0.127   0.0131    -2.80
-0.028   0.0130    -1.78
0.026   0.0135    -0.96
0.193   0.0128     0.12
0.276   0.0123     1.14
0.379   0.0128     2.18
0.491   0.0134     3.27
0.596   0.0130     4.30
0.690   0.0135     5.22
0.789   0.0143     6.27
0.891   0.0176     7.45
0.944   0.0215     8.23
0.993   0.0304     9.30
1.033   0.0459    10.72
202700
17
-0.424   0.0202    -6.08
-0.361   0.0177    -5.27
-0.247   0.0149    -4.36
-0.123   0.0115    -3.21
-0.053   0.0105    -2.26
0.034   0.0094    -1.17
0.118   0.0085    -0.22
0.264   0.0107     0.96
0.375   0.0107     2.03
0.458   0.0108     2.84
0.571   0.0106     3.90
0.700   0.0115     5.10
0.787   0.0123     6.01
0.881   0.0155     7.06
0.951   0.0201     8.03
1.001   0.0274     9.04
1.035   0.0368    10.10
303500
17
-0.421   0.0187    -6.11
-0.270   0.0135    -4.61
-0.213   0.0123    -3.96
-0.121   0.0102    -2.88
-0.038   0.0091    -1.90
0.049   0.0087    -0.89
0.132   0.0080     0.07
0.289   0.0084     1.24
0.397   0.0084     2.25
0.498   0.0087     3.19
0.604   0.0091     4.19
0.710   0.0097     5.21
0.806   0.0121     6.22
0.899   0.0160     7.32
0.967   0.0210     8.37
1.010   0.0268     9.28
1.036   0.0363    10.29
Airfoil SD7003
Builder M. Allen
Comment clean
5
61100
10
-0.296   0.0250    -4.84
-0.147   0.0152    -2.92
-0.040   0.0125    -1.61
0.108   0.0131    -0.09
0.368   0.0130     1.66
0.511   0.0132     3.03
0.652   0.0168     4.60
0.786   0.0192     6.09
0.920   0.0264     7.72
1.028   0.0307     9.20
101600
11
-0.333   0.0180    -4.76
-0.187   0.0143    -3.21
-0.051   0.0099    -1.54
0.104   0.0088     0.01
0.322   0.0113     1.33
0.490   0.0136     3.12
0.617   0.0148     4.42
0.789   0.0182     6.18
0.913   0.0233     7.57
1.031   0.0353     9.25
1.091   0.0551    10.57
202200
11
-0.317   0.0139    -4.65
-0.141   0.0107    -2.85
-0.032   0.0091    -1.67
0.159   0.0073     0.02
0.317   0.0086     1.53
0.476   0.0101     3.06
0.644   0.0122     4.67
0.775   0.0145     5.98
0.916   0.0187     7.51
1.036   0.0262     9.06
1.122   0.0373    10.52
302800
11
-0.282   0.0115    -4.27
-0.150   0.0099    -2.96
-0.021   0.0078    -1.67
0.171   0.0070     0.24
0.332   0.0077     1.72
0.500   0.0093     3.24
0.657   0.0109     4.71
0.791   0.0127     6.08
0.949   0.0176     7.79
1.053   0.0227     9.09
1.142   0.0328    10.61
305500
1
-0.490   0.0170    -6.29
Airfoil SD7032D
Builder S. Watson
Comment clean
5
60300
11
-0.102   0.0297    -3.83
0.070   0.0179    -2.19
0.251   0.0178    -0.68
0.440   0.0265     0.83
0.698   0.0295     2.88
0.817   0.0291     4.05
0.961   0.0297     5.60
1.081   0.0331     7.10
1.200   0.0286     8.61
1.291   0.0404    10.26
1.355   0.0443    11.54
100700
12
-0.046   0.0231    -3.62
0.213   0.0168    -1.90
0.378   0.0165    -0.48
0.550   0.0177     1.10
0.684   0.0170     2.48
0.838   0.0172     4.04
0.981   0.0193     5.53
1.123   0.0219     7.05
1.260   0.0250     8.63
1.355   0.0301    10.29
1.381   0.0430    11.69
1.380   0.0499    13.19
151200
11
0.013   0.0182    -3.64
0.231   0.0128    -1.76
0.381   0.0118    -0.11
0.499   0.0127     1.02
0.669   0.0133     2.63
0.842   0.0138     4.24
0.979   0.0155     5.62
1.130   0.0187     7.28
1.251   0.0225     8.70
1.339   0.0281    10.21
1.364   0.0379    11.58
201700
11
0.017   0.0160    -4.07
0.229   0.0117    -1.98
0.376   0.0100    -0.40
0.521   0.0106     0.95
0.703   0.0109     2.61
0.856   0.0123     4.10
1.017   0.0140     5.70
1.143   0.0168     7.10
1.270   0.0203     8.64
1.352   0.0267    10.23
1.388   0.0371    11.72
301200
11
0.032   0.0136    -3.87
0.163   0.0110    -2.48
0.337   0.0089    -0.85
0.494   0.0080     0.72
0.675   0.0089     2.39
0.799   0.0099     3.63
0.996   0.0120     5.57
1.148   0.0145     7.23
1.288   0.0193     9.11
1.357   0.0254    10.52
1.389   0.0341    11.95
Airfoil SD7032E
Builder H. Michaelis
Comment clean
1
201400
12
-0.026   0.0190    -4.38
0.152   0.0140    -2.47
0.303   0.0117    -0.93
0.468   0.0107     0.74
0.603   0.0109     2.00
0.746   0.0115     3.42
0.931   0.0136     5.33
1.065   0.0158     6.85
1.167   0.0175     8.09
1.276   0.0240     9.86
1.324   0.0311    11.10
1.335   0.0553    12.50
Airfoil SD7037A
Builder H. Michaelis
Comment clean
4
60900
11
-0.228   0.0365    -4.19
-0.154   0.0259    -3.12
-0.043   0.0201    -1.80
0.127   0.0163    -0.02
0.322   0.0202     1.39
0.600   0.0222     3.11
0.740   0.0200     4.53
0.877   0.0187     6.03
1.013   0.0215     7.71
1.087   0.0255     9.07
1.160   0.0357    10.56
101100
11
-0.287   0.0327    -4.49
-0.118   0.0213    -2.79
0.037   0.0154    -1.59
0.266   0.0146     0.17
0.479   0.0153     1.80
0.623   0.0159     3.27
0.762   0.0145     4.80
0.898   0.0166     6.32
1.024   0.0205     7.84
1.100   0.0299     9.37
1.167   0.0398    10.74
202100
11
-0.168   0.0216    -4.28
-0.010   0.0149    -2.87
0.163   0.0096    -1.16
0.301   0.0083     0.18
0.458   0.0093     1.64
0.624   0.0100     3.26
0.772   0.0114     4.85
0.920   0.0144     6.48
1.021   0.0195     7.91
1.111   0.0263     9.39
1.181   0.0356    10.83
302100
11
-0.181   0.0213    -4.69
-0.002   0.0133    -2.88
0.138   0.0098    -1.39
0.282   0.0074    -0.01
0.466   0.0074     1.72
0.595   0.0080     3.01
0.802   0.0106     5.13
0.921   0.0131     6.49
1.026   0.0180     8.01
1.120   0.0235     9.45
1.186   0.0321    10.89
Airfoil SD7037B
Builder D. Thompson
Comment clean
5
60500
11
-0.176   0.0300    -4.35
-0.083   0.0230    -2.87
0.053   0.0145    -1.24
0.226   0.0174     0.28
0.486   0.0216     1.86
0.659   0.0258     3.42
0.800   0.0257     5.02
0.921   0.0252     6.34
1.051   0.0289     8.24
1.137   0.0335     9.39
1.221   0.0414    11.13
101400
11
-0.223   0.0268    -4.17
-0.116   0.0189    -2.88
0.051   0.0153    -1.35
0.306   0.0155     0.31
0.494   0.0166     1.77
0.638   0.0165     3.27
0.801   0.0174     5.03
0.921   0.0192     6.31
1.077   0.0255     8.10
1.164   0.0295     9.39
1.245   0.0355    11.07
151400
11
-0.295   0.0324    -5.03
-0.032   0.0145    -2.53
0.186   0.0121    -0.94
0.352   0.0112     0.58
0.507   0.0105     2.09
0.686   0.0127     3.77
0.829   0.0142     5.23
0.975   0.0167     6.82
1.131   0.0226     8.71
1.205   0.0278     9.84
1.268   0.0341    11.30
201900
11
-0.206   0.0224    -4.25
0.005   0.0135    -2.77
0.209   0.0100    -0.99
0.327   0.0097     0.20
0.493   0.0099     1.76
0.678   0.0109     3.47
0.831   0.0126     4.96
0.980   0.0147     6.53
1.099   0.0183     7.94
1.216   0.0237     9.61
1.289   0.0289    11.05
302200
12
-0.363   0.0581    -5.87
-0.192   0.0159    -4.54
0.007   0.0119    -2.90
0.161   0.0101    -1.42
0.312   0.0075     0.18
0.505   0.0079     1.94
0.682   0.0092     3.61
0.827   0.0109     5.04
0.973   0.0132     6.63
1.105   0.0167     8.22
1.194   0.0201     9.47
1.282   0.0261    11.20
Airfoil SD8000
Builder R. Wagner/R. Olsen
Comment clean
4
60800
12
-0.344   0.0302    -5.55
-0.201   0.0208    -3.88
-0.076   0.0142    -2.36
0.065   0.0160    -0.81
0.241   0.0144     0.80
0.476   0.0149     2.29
0.682   0.0172     3.97
0.796   0.0200     5.36
0.935   0.0206     6.96
1.034   0.0276     8.36
1.130   0.0341    10.01
1.153   0.0657    11.52
101100
11
-0.357   0.0245    -5.63
-0.196   0.0153    -3.68
-0.074   0.0123    -2.22
0.046   0.0123    -0.85
0.259   0.0145     0.82
0.502   0.0152     2.30
0.656   0.0134     3.98
0.792   0.0169     5.48
0.927   0.0227     7.12
1.038   0.0274     8.53
1.127   0.0416    10.10
201600
11
-0.339   0.0172    -5.50
-0.186   0.0133    -3.76
-0.045   0.0111    -2.30
0.175   0.0091    -0.72
0.346   0.0088     0.80
0.488   0.0095     2.21
0.654   0.0104     3.84
0.788   0.0134     5.26
0.928   0.0176     6.84
1.045   0.0221     8.36
1.137   0.0295     9.82
302100
12
-0.409   0.0190    -6.39
-0.146   0.0122    -3.59
0.033   0.0077    -2.19
0.204   0.0074    -0.58
0.335   0.0073     0.82
0.510   0.0078     2.48
0.682   0.0101     4.17
0.815   0.0128     5.58
1.002   0.0171     7.67
1.077   0.0204     8.61
1.179   0.0294    10.34
1.215   0.0404    11.57
Airfoil SD8020
Builder R. Wagner/R. Olsen
Comment clean
4
61400
10
-0.609   0.0260    -6.45
-0.490   0.0183    -4.94
-0.340   0.0178    -3.36
-0.094   0.0176    -1.81
0.030   0.0134    -0.29
0.105   0.0195     1.17
0.360   0.0132     2.72
0.508   0.0164     4.38
0.632   0.0191     5.89
0.743   0.0262     7.40
101500
11
-0.676   0.0189    -6.55
-0.542   0.0151    -5.03
-0.393   0.0136    -3.33
-0.231   0.0124    -1.81
-0.001   0.0100    -0.41
0.142   0.0122     1.22
0.299   0.0134     2.70
0.419   0.0153     4.10
0.558   0.0171     5.69
0.680   0.0239     7.28
0.790   0.0380     8.90
203300
11
-0.636   0.0138    -6.41
-0.511   0.0113    -4.96
-0.375   0.0100    -3.43
-0.215   0.0086    -1.63
-0.041   0.0086    -0.33
0.145   0.0077     1.21
0.284   0.0097     2.59
0.442   0.0117     4.30
0.572   0.0143     5.78
0.699   0.0198     7.31
0.814   0.0276     8.87
304800
11
-0.674   0.0144    -6.78
-0.498   0.0099    -4.76
-0.361   0.0088    -3.27
-0.201   0.0074    -1.74
-0.032   0.0073    -0.22
0.099   0.0085     1.18
0.277   0.0087     2.61
0.451   0.0108     4.46
0.564   0.0128     5.69
0.698   0.0172     7.25
0.821   0.0241     8.87
Airfoil SD8020T2
Builder R. Wagner/R. Olsen
Comment Zig-Zag trip type "B" @ x/c = 25% (h/c = 0.32%)
2
61100
10
-0.596   0.0260    -6.45
-0.457   0.0209    -4.64
-0.277   0.0159    -2.59
-0.040   0.0143    -0.49
0.226   0.0154     1.59
0.405   0.0149     3.58
0.579   0.0204     5.64
0.644   0.0217     6.62
0.728   0.0265     7.79
0.778   0.0360     8.67
203000
10
-0.634   0.0195    -6.53
-0.463   0.0162    -4.58
-0.266   0.0163    -2.62
-0.052   0.0167    -0.50
0.141   0.0159     1.56
0.354   0.0161     3.63
0.553   0.0192     5.69
0.641   0.0224     6.74
0.725   0.0263     7.77
0.797   0.0313     8.80
Airfoil WASP
Builder M. Fox
Comment clean
4
60700
11
-0.182   0.0292    -4.30
-0.046   0.0210    -2.62
0.104   0.0167    -1.00
0.313   0.0207     0.39
0.550   0.0204     2.00
0.673   0.0220     3.35
0.809   0.0286     4.94
0.960   0.0334     6.70
1.079   0.0367     8.15
1.183   0.0346     9.65
1.263   0.0422    11.26
101300
10
-0.206   0.0244    -4.18
-0.053   0.0190    -2.44
0.164   0.0125    -0.87
0.342   0.0138     0.24
0.539   0.0150     2.06
0.683   0.0159     3.64
0.834   0.0176     5.24
1.007   0.0213     7.09
1.097   0.0240     8.22
1.220   0.0264     9.90
201600
11
-0.171   0.0181    -4.03
0.006   0.0129    -2.65
0.285   0.0088    -0.29
0.352   0.0091     0.41
0.586   0.0108     2.63
0.675   0.0115     3.51
0.834   0.0134     5.13
0.979   0.0155     6.65
1.120   0.0182     8.28
1.215   0.0242     9.81
1.245   0.0353    11.11
302600
11
-0.172   0.0154    -4.31
0.048   0.0107    -2.53
0.198   0.0087    -1.02
0.397   0.0081     0.90
0.541   0.0090     2.23
0.680   0.0099     3.61
0.826   0.0115     5.07
0.964   0.0130     6.48
1.108   0.0156     8.13
1.204   0.0204     9.53
1.249   0.0339    11.27
