Airfoil A18
Builder R. Cooney
Comment clean
1.182   0.0348    10.04
202300
11
-0.142   0.0236    -4.65
-0.009   0.0155    -3.35
0.119   0.0116    -1.97
0.278   0.0100    -0.37
0.452   0.0110     1.27
0.598   0.0122     2.67
0.763   0.0131     4.24
0.898   0.0137     5.61
1.053   0.0148     7.25
1.145   0.0234     8.79
1.188   0.0341    10.18
303000
11
-0.231   0.0408    -5.46
-0.075   0.0161    -3.93
0.083   0.0114    -2.24
0.286   0.0081    -0.24
0.427   0.0088     1.05
0.586   0.0094     2.53
0.751   0.0105     4.08
0.939   0.0114     5.94
1.024   0.0127     6.95
1.119   0.0192     8.46
1.177   0.0291     9.93
Airfoil FX63137B
Builder M. Allen
Comment clean
4
100800
18
-0.019   0.0476    -5.05
0.172   0.0373    -3.74
0.287   0.0351    -2.86
0.397   0.0348    -1.91
0.495   0.0420    -0.57
0.567   0.0484     0.37
0.624   0.0510     1.29
0.686   0.0557     2.27
0.786   0.0616     3.48
1.026   0.0457     4.41
1.234   0.0339     5.65
1.331   0.0312     6.53
1.429   0.0296     7.53
1.494   0.0295     8.34
1.599   0.0293     9.72
1.654   0.0316    10.57
1.697   0.0349    11.44
1.738   0.0443    13.00
201100
19
0.142   0.0259    -5.79
0.261   0.0195    -4.73
0.376   0.0168    -3.65
0.507   0.0147    -2.54
0.603   0.0149    -1.61
0.726   0.0161    -0.42
0.859   0.0169     0.87
0.914   0.0169     1.42
1.035   0.0175     2.63
1.172   0.0175     3.99
1.232   0.0173     4.67
1.342   0.0171     5.89
1.430   0.0177     6.78
1.555   0.0189     8.29
1.616   0.0206     9.14
1.690   0.0245    10.51
1.697   0.0256    10.70
1.728   0.0316    11.97
1.731   0.0395    12.86
251600
18
0.084   0.0307    -6.29
0.238   0.0178    -4.91
0.353   0.0152    -3.87
0.481   0.0128    -2.74
0.586   0.0128    -1.81
0.695   0.0134    -0.74
0.794   0.0140     0.24
0.892   0.0145     1.25
1.005   0.0149     2.34
1.108   0.0151     3.37
1.201   0.0154     4.34
1.293   0.0154     5.36
1.390   0.0156     6.49
1.478   0.0163     7.50
1.539   0.0174     8.33
1.616   0.0202     9.50
1.672   0.0231    10.51
1.710   0.0285    11.60
302300
18
0.142   0.0201    -5.82
0.247   0.0161    -4.86
0.360   0.0140    -3.85
0.479   0.0120    -2.79
0.599   0.0116    -1.74
0.706   0.0120    -0.71
0.811   0.0125     0.33
0.914   0.0131     1.34
1.018   0.0134     2.35
1.118   0.0136     3.36
1.232   0.0139     4.45
1.324   0.0145     5.46
1.398   0.0144     6.42
1.487   0.0153     7.49
1.559   0.0170     8.52
1.626   0.0196     9.57
1.676   0.0227    10.55
1.708   0.0277    11.53
Airfoil FX74MOD
Builder C. Hollinger
Comment clean
1
199400
9
0.611   0.0379    -1.80
0.859   0.0258    -0.47
1.049   0.0223     1.20
1.200   0.0211     2.71
1.347   0.0234     4.25
1.468   0.0253     5.60
1.622   0.0285     7.42
1.749   0.0318     9.05
1.850   0.0351    10.48
Airfoil GEMINI
Builder K. Bates
Comment clean
3
101600
13
-0.505   0.0276    -7.01
-0.073   0.0154    -3.28
-0.027   0.0167    -2.71
